"Joseph","2016-07-14 17:06:31 -0400","Add updated css for buttons, add ability for users to change the value of the spring force constant and converted the html file into an svg file"
"wu wen","2016-07-14 16:57:20 -0400","Create readme.txt"
"Jimmyqlx","2016-07-14 16:46:28 -0400","Basic model of search controller"
"wu wen","2016-07-14 16:45:15 -0400","Update readme.txt"
"wu wen","2016-07-14 16:39:06 -0400","Create springmove.js"
"wu wen","2016-07-14 16:36:33 -0400","Create spring.html"
"Roman Lipisiy","2016-07-14 15:14:26 -0400","Fix Headings in the about page"
"Aman Kumar","2016-07-14 01:48:55 -0400","Updated MathJax Equations"
"Aman Kumar","2016-07-14 01:34:15 -0400","Learned mathjax and added equations for all concepts of classical mechanics"
"rmoro","2016-07-14 00:41:22 -0400","updated stats for the week"
"rmoro","2016-07-14 00:02:49 -0400","see last commit"
"rmoro","2016-07-14 00:01:19 -0400","fixed the leaf in the logo so it doesnt look like it was chopped off"
"rmoro","2016-07-13 23:31:13 -0400","linked home page to search and removed the awful looking search in header when on the front page."
"rmoro","2016-07-13 22:50:57 -0400","accidentally had kept some elastic search mappings in this file"
"rmoro","2016-07-13 22:45:48 -0400","Added searchkick"
"rmoro","2016-07-13 22:38:04 -0400","switched to searchkick https://github.com/ankane/searchkick"
"rmoro","2016-07-13 22:15:23 -0400","added a few mappings to searchable.rb (work in progress)"
"rmoro","2016-07-13 21:54:40 -0400","Added some elasticsearch mappings for testing"
"Ryan Mak","2016-07-13 20:52:55 -0400","Added Matrix Treatment of Polarization part 2"
"Ryan Mak","2016-07-13 19:19:06 -0400","Added Matrix Treatment of Polarization"
"Robert Morouney","2016-07-13 18:05:12 -0400","Update .gitignore"
"swar8080","2016-07-13 14:47:22 -0400","Update README.md"
"swar8080","2016-07-13 14:45:56 -0400","updated UML viewing/editing instructions"
"JeffChung2","2016-07-13 13:45:46 -0400","added more formulas"
"JeffChung2","2016-07-13 13:32:38 -0400","renamed to modular version"
"WALLISE WU","2016-07-13 12:56:41 -0400","removed unnecessary files in last commit"
"WALLISE WU","2016-07-13 12:54:35 -0400","updated electro physics research"
"WALLISE WU","2016-07-13 12:53:51 -0400","updated electromag research"
"Kevzys","2016-07-13 12:47:26 -0400","Merge branch 'master' of https://github.com/UPOD-2016/UPOD"
"Kevzys","2016-07-13 12:47:19 -0400","Completed version of fundamentals research"
"WALLISE WU","2016-07-13 12:47:16 -0400","added electromagnetism research"
"Roman Lipisiy","2016-07-13 12:37:02 -0400","fix button cross browser, add max height constraint"
"Ensieh Mollazadeh","2016-07-13 11:59:36 -0400","has created diverging lense"
"Wallise Wu","2016-07-13 11:14:09 -0400","Add files via upload"
"JeffChung2","2016-07-13 11:09:48 -0400","more mathjax conversion"
"crui7530","2016-07-13 14:49:54 +0000","Removed second subcategory category id check as it is not needed"
"giacrom","2016-07-13 10:34:58 -0400","Update Diagrams.csv"
"gstarmvp","2016-07-13 02:43:02 -0400","cripts at the Bottom to have better performence"
"chan6240","2016-07-13 05:15:32 +0000","Fixed _header"
"chan6240","2016-07-13 05:14:01 +0000","Added article linking back to subcategory page"
"chan6240","2016-07-13 05:08:58 +0000","Fixed tag for header"
"chan6240","2016-07-13 05:03:07 +0000","Made categories for homepage dynamic, implemented frontend's mock up for subcategories page, will need frontend team to do tighten the look and feel"
"chan6240","2016-07-13 05:03:07 +0000","Made categories for homepage dynamic, implemented frontend's mock up for subcategories page, will need frontend team to do tighten the look and feel"
"giacrom","2016-07-12 22:53:00 -0400","Update elastic_collision.html"
"chan6240","2016-07-13 02:29:12 +0000","Added description for categorization"
"Clive Shen","2016-07-12 21:35:34 -0400","Updated the format, and added some UML diagrams."
"franco-wong","2016-07-12 21:07:22 -0400","fixed to fit requirements"
"Anderszz","2016-07-12 20:44:38 -0400","Minor edits to Physics RD"
"franco-wong","2016-07-12 20:39:41 -0400","redone subcategory page"
"kcolletripp","2016-07-12 18:36:19 -0400","replaced old article page with new"
"Joseph","2016-07-12 16:31:01 -0400","The values for potential energy and distance moved now change as the bow is moved"
